"","CLUSTERID1","CLUSTERID2","DeltaMZ","MEH","Cosine","OtherScore","ComponentIndex"
"422","6371","7167",-15.973,0,0.889003,0.697304,1
"423","8998","10863",-104.044,0,0.660573,0.408985,1
"424","7167","7675",-318.18,0,0.70835,0.549666,1
"425","2364","10521",-282.029,0,0.737496,0.475066,1
"426","5756","8337",-57.002,0,0.668847,0.473609,1
"427","4303","8807",-124.097,0,0.837443,0.654345,1
"428","2786","5756",-103.08,0,0.608288,0.4441,1
"429","3942","11495",-330.281,0,0.70331,0.499476,1
"430","8849","8998",-7.95798,0,0.608797,0.448962,1
"431","10033","11992",-200.037,0,0.606236,0.434633,1
"432","3229","3431",-8.008,0,0.826567,0.637731,1
"433","8889","11992",-251.989,0,0.65889,0.50225,1
"434","2342","11010",-323.173,0,0.651412,0.406415,1
"435","1863","9409",-227.05,0,0.822401,0.675384,1
"436","10176","12599",-456.165,0,0.726718,0.491679,1
"437","5322","6823",-38.989,0,0.843197,0.654215,1
"438","11142","12599",-382.053,0,0.77009,0.554851,1
"439","6823","8218",-32.05,0,0.646466,0.454692,1
"440","9343","11494",-182.028,0,0.642912,0.461144,1
"441","5716","5730",-0.946991,0,0.671938,0.445932,1
"442","3782","7621",-101.081,0,0.631556,0.411199,1
"443","6548","6968",-7.04001,0,0.805525,0.572383,1
"444","3699","12094",-410.021,0,0.689375,0.454429,1
"445","8399","12382",-382.115,0,0.865417,0.634029,1
"446","3697","12094",-409.985,0,0.893557,0.688038,1
"447","3110","10804",-269.077,0,0.738374,0.448579,1
"448","3494","6252",-81.187,0,0.606266,0.452455,1
"449","5322","6968",-39.999,0,0.800236,0.580817,1
"450","2780","3688",-39.993,0,0.861764,0.653372,1
"451","2364","4310",-73.979,0,0.742651,0.478118,1
"452","9336","9409",-4.95999,0,0.776981,0.500318,1
"453","3782","4310",-14.973,0,0.83566,0.560596,1
"454","8849","11402",-184.046,0,0.781016,0.597168,1
"455","2780","3110",-18.01,0,0.802942,0.657919,1
"456","9343","10176",-49.993,0,0.736867,0.579704,1
"457","2364","8337",-178.1,0,0.708747,0.45329,1
"458","9057","10521",-73.992,0,0.624077,0.420917,1
"459","3269","8305",-138.201,0,0.675919,0.488817,1
"460","46","4303",-133.998,0,0.750361,0.488464,1
"461","8807","12382",-365.084,0,0.889984,0.659073,1
"462","5333","8786",-92.115,0,0.788352,0.571864,1
"463","9763","11534",-162.057,0,0.621135,0.407225,1
"464","2356","6252",-131.061,0,0.663693,0.479353,1
"465","5716","10176",-147.024,0,0.655528,0.45359,1
"466","6968","7621",-17.023,0,0.72618,0.560009,1
"467","4537","5837",-42.021,0,0.830968,0.688033,1
"468","3110","3782",-23.968,0,0.773724,0.562643,1
"469","2780","12314",-522.19,0,0.821177,0.610753,1
"470","2378","10804",-303.083,0,0.719618,0.433368,1
"471","2786","12314",-521.2,0,0.691593,0.514369,1
"472","2364","3229",-37.983,0,0.702798,0.448429,1
"473","6371","6548",-3.98401,0,0.662211,0.50941,1
"474","3697","5730",-61.931,0,0.718478,0.434163,1
"475","7722","8359",-16.995,0,0.634896,0.418812,1
"476","1194","7605",-186.067,0,0.681821,0.522124,1
"477","8359","11534",-220.01,0,0.767473,0.549257,1
"478","9380","9600",-15.972,0,0.613274,0.579759,1
"479","7621","11010",-161.073,0,0.781566,0.581803,1
"480","2378","11495",-397.051,0,0.655371,0.427391,1
"481","6823","8492",-40.008,0,0.798787,0.581365,1
"482","3697","6548",-77.981,0,0.87958,0.673452,1
"483","3110","11142",-305.125,0,0.643221,0.420751,1
"484","5333","10521",-178.031,0,0.813476,0.599132,1
"485","3110","3148",-0.983002,0,0.741408,0.415008,1
